Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-02-24,0.20016212617484974,0.2381984884153141,0.2368926269833983,0.0012498169213494108,0.20016212617484969,0.9929709530183244,2021-02-24
2021-02-25,0.2003881575973271,0.2381984884153141,0.2370865695784533,0.0015622711516867643,0.20038815759732714,0.9911933014303722,2021-02-25
2021-02-26,0.20065117597984616,0.23826043860735968,0.23728567022124925,0.0021676512229653853,0.20065117597984633,0.9895991258068539,2021-02-26
2021-02-27,0.20090083796012803,0.23844628918349642,0.2374548541871484,0.0029097300200165988,0.2009008379601281,0.9890563741068199,2021-02-27
2021-02-28,0.20110323882480097,0.238508239375542,0.23762816459124014,0.003183127471561782,0.2011032388248009,0.9879400049532645,2021-02-28
2021-03-01,0.20128303654722624,0.2385701895675877,0.2377364835937975,0.003856856905726699,0.2012830365472263,0.9870016351781219,2021-03-01
2021-03-02,0.20150598572303347,0.2385701895675877,0.23781694913855445,0.0052140799687545765,0.20150598572303352,0.9852532315597857,2021-03-02
2021-03-03,0.2017525654566451,0.23875604014372442,0.23801914460999485,0.005614411951374309,0.20175256545664505,0.9847369874815515,2021-03-03
2021-03-04,0.20202072091694778,0.23881799033577,0.2381666647753825,0.006756822731045255,0.20202072091694773,0.9831084764915028,2021-03-04
2021-03-05,0.202341274570643,0.23900384091190685,0.23840496658100863,0.007518429917492554,0.20234127457064305,0.9820145564352378,2021-03-05
2021-03-06,0.20267107496434866,0.23906579110395243,0.23873508163642154,0.007518429917492554,0.2026710749643486,0.9799066557846903,2021-03-06
2021-03-07,0.20296491581356924,0.2391896914880436,0.23900330011894455,0.00775277059024557,0.2029649158135694,0.9785529018101773,2021-03-07
2021-03-08,0.20321046813162424,0.23937554206418044,0.2393220674693276,0.007039984377288481,0.2032104681316243,0.9780483304681198,2021-03-08
2021-03-09,0.20353924110977317,0.23962334283236275,0.2395634641035983,0.007840648342527949,0.20353924110977323,0.9773654636320481,2021-03-09
2021-03-10,0.2039193848657579,0.2398091934084996,0.23985128316753646,0.008699897475955669,0.20391938486575784,0.975812216583158,2021-03-10
2021-03-11,0.20433959782845446,0.23999504398463634,0.24014632349831178,0.009871600839720742,0.2043395978284544,0.9739486519850393,2021-03-11
2021-03-12,0.2047824139333988,0.2401189443687275,0.24051357649745864,0.010584387052677828,0.20478241393339885,0.9714417251168177,2021-03-12
2021-03-13,0.20521290105166257,0.24030479494486434,0.24082512258100452,0.01169750524825465,0.20521290105166262,0.9695035238334082,2021-03-13
2021-03-14,0.20563105918324576,0.2404286953289555,0.24118618592286234,0.012234535956646975,0.2056310591832457,0.9671943034942707,2021-03-14
2021-03-15,0.206009148108117,0.24061454590509224,0.24150185844460104,0.012810623443831468,0.20600914810811694,0.9656677479586726,2021-03-15
2021-03-16,0.206445799719721,0.24067649609713793,0.24176698209847947,0.014441243958404529,0.20644579971972093,0.9627517547614568,2021-03-16
2021-03-17,0.20699649445812052,0.24086234667327466,0.24209606554434426,0.016530781623785577,0.20699649445812046,0.9598939358859573,2021-03-17
2021-03-18,0.20762013570104676,0.24092429686532024,0.2424891087821952,0.01872772543084509,0.2076201357010467,0.9555416605527345,2021-03-18
2021-03-19,0.20835576523965493,0.24117209763350267,0.24297809170802553,0.021051603768979153,0.20835576523965477,0.9517364399150088,2021-03-19
2021-03-20,0.20919105408726457,0.24129599801759383,0.24356301432183536,0.02343406727530147,0.20919105408726452,0.9462394834533301,2021-03-20
2021-03-21,0.2100366170904413,0.2413579482096394,0.24419539097486065,0.025474783967192303,0.21003661709044125,0.9402113378298971,2021-03-21
2021-03-22,0.21094896210480463,0.24179159955395857,0.24477825036957412,0.028560269491773666,0.21094896210480457,0.9364805950280974,2021-03-22
2021-03-23,0.2120801466327482,0.242039400322141,0.24541784828943658,0.033217790362739835,0.21208014663274827,0.929694631620551,2021-03-23
2021-03-24,0.2133685257408694,0.24241110147441458,0.24621115603197574,0.03789483962310208,0.21336852574086945,0.922663454643331,2021-03-24
2021-03-25,0.21492506030929315,0.2427208524346426,0.24714269945396905,0.043821705804813746,0.2149250603092932,0.9131642304064824,2021-03-25
2021-03-26,0.21650111577329456,0.2432784041630529,0.24814439232523755,0.04923106966752917,0.21650111577329462,0.9054084450633058,2021-03-26
2021-03-27,0.21810182921065713,0.2438979060835088,0.24914918002515063,0.05483571742420544,0.21810182921065718,0.89796417977165,2021-03-27
2021-03-28,0.22003439787283885,0.24445545781191924,0.250131272315004,0.06381877654640433,0.2200343978728388,0.887612198360114,2021-03-28
2021-03-29,0.22198751484615475,0.24482715896419283,0.2515868733874653,0.0685446467802568,0.2219875148461547,0.8757925007938159,2021-03-29
2021-03-30,0.22300979332508664,0.24507495973237514,0.2532281641785963,0.06268612996143143,0.22300979332508658,0.8700261143537444,2021-03-30
2021-03-31,0.22487866222275188,0.24575641184487673,0.25363977638831425,0.076443880290973,0.22487866222275193,0.8612105708294662,2021-03-31
2021-04-01,0.22774515162598785,0.24631396357328705,0.2547962106918077,0.09265244348972318,0.2277451516259878,0.8442084172192104,2021-04-01
2021-04-02,0.231437683136823,0.24718126626192538,0.25694608499018423,0.10725967875799443,0.23143768313682295,0.8236026233778668,2021-04-02
2021-04-03,0.23510247442762677,0.2478007681823814,0.25994187911805633,0.11363569789581604,0.23510247442762672,0.8016197148219559,2021-04-03
2021-04-04,0.23924604136785999,0.24910172221533888,0.2627034978784949,0.1266708978177025,0.23924604136785993,0.7813729873116868,2021-04-04
2021-04-05,0.2428913117630862,0.2500309750960228,0.2657219874164267,0.13259776399941414,0.24289131176308615,0.7622161452563168,2021-04-05
2021-04-06,0.24813113110233476,0.25108412836079785,0.26813595375913357,0.1593809500561441,0.2481311311023347,0.7330158826592088,2021-04-06
2021-04-07,0.25378808115760965,0.25232313220170977,0.27160525666961355,0.18011033540008786,0.2537880811576096,0.7026954916854153,2021-04-07
2021-04-08,0.26142897065290205,0.2538099368108041,0.27540880107369914,0.2164917248449934,0.261428970652902,0.6611965066834342,2021-04-08
2021-04-09,0.27018357861167386,0.25622599430058235,0.2805998603200671,0.25017819655323925,0.2701835786116738,0.6196400626780445,2021-04-09
2021-04-10,0.27829707926305536,0.2586420517903605,0.28649654049738016,0.27109310159644584,0.2782970792630553,0.5832194324426379,2021-04-10
2021-04-11,0.289366454471107,0.26161566100854916,0.291817582546817,0.32546013767514526,0.28936645447110704,0.5326401146476876,2021-04-11
2021-04-12,0.30117248663332363,0.26607607483583195,0.2997248697335043,0.36211492457159594,0.3011724866333236,0.488856077414928,2021-04-12
